time,price,magnetisation,return
279,0.950090,-0.081600,1.449092
280,0.963870,-0.067200,5.221335
281,0.966959,-0.064000,1.158918
282,0.976287,-0.054400,3.480300
283,0.971612,-0.059200,-1.742804
284,0.966959,-0.064000,-1.742806
285,0.974726,-0.056000,2.899955
286,0.977068,-0.053600,0.868748
287,0.976287,-0.054400,-0.291943
288,0.980200,-0.050400,1.449092
289,0.980200,-0.050400,-0.001770
290,0.977068,-0.053600,-1.162459
291,0.972390,-0.058400,-1.742806
292,0.972390,-0.058400,-0.001770
293,0.974726,-0.056000,0.868747
294,0.977068,-0.053600,0.868748
295,0.979416,-0.051200,0.868747
296,0.983342,-0.047200,1.449091
297,0.974726,-0.056000,-3.193667
298,0.973947,-0.056800,-0.291942
299,0.975506,-0.055200,0.578575
300,0.973947,-0.056800,-0.582115
301,0.971612,-0.059200,-0.872287
302,0.968508,-0.062400,-1.162459
303,0.976287,-0.054400,2.899953
304,0.982555,-0.048000,2.319609
305,0.985704,-0.044800,1.158920
306,0.979416,-0.051200,-2.323150
307,0.977850,-0.052800,-0.582115
308,0.977068,-0.053600,-0.291942
309,0.977068,-0.053600,-0.001770
310,0.976287,-0.054400,-0.291943
311,0.979416,-0.051200,1.158920
312,0.980984,-0.049600,0.578574
313,0.978633,-0.052000,-0.872287
314,0.976287,-0.054400,-0.872287
315,0.968508,-0.062400,-2.903494
316,0.966959,-0.064000,-0.582117
317,0.963870,-0.067200,-1.162458
318,0.969283,-0.061600,2.029436
319,0.969283,-0.061600,-0.001770
320,0.963870,-0.067200,-2.032976
321,0.962329,-0.068800,-0.582117
322,0.969283,-0.061600,2.609783
323,0.969283,-0.061600,-0.001770
324,0.970059,-0.060800,0.288402
325,0.971612,-0.059200,0.578575
326,0.970059,-0.060800,-0.582115
327,0.973947,-0.056800,1.449092
328,0.976287,-0.054400,0.868747
329,0.977850,-0.052800,0.578575
330,0.975506,-0.055200,-0.872287
331,0.977850,-0.052800,0.868747
332,0.971612,-0.059200,-2.323150
333,0.972390,-0.058400,0.288402
334,0.970059,-0.060800,-0.872287
335,0.972390,-0.058400,0.868747
336,0.978633,-0.052000,2.319609
337,0.977068,-0.053600,-0.582114
338,0.980200,-0.050400,1.158919
339,0.977850,-0.052800,-0.872287
340,0.979416,-0.051200,0.578575
341,0.974726,-0.056000,-1.742806
342,0.977850,-0.052800,1.158920
343,0.977068,-0.053600,-0.291942
344,0.976287,-0.054400,-0.291943
345,0.969283,-0.061600,-2.613322
346,0.965414,-0.065600,-1.452633
347,0.963099,-0.068000,-0.872289
348,0.967733,-0.063200,1.739267
349,0.967733,-0.063200,-0.001770
350,0.964642,-0.066400,-1.162460
351,0.960791,-0.070400,-1.452633
352,0.958488,-0.072800,-0.872289
353,0.956190,-0.075200,-0.872286
354,0.952373,-0.079200,-1.452633
355,0.953898,-0.077600,0.578574
356,0.956955,-0.074400,1.158920
357,0.958488,-0.072800,0.578574
358,0.962329,-0.068800,1.449092
359,0.963099,-0.068000,0.288402
360,0.957721,-0.073600,-2.032976
361,0.957721,-0.073600,-0.001770
362,0.957721,-0.073600,-0.001770
363,0.950090,-0.081600,-2.903495
364,0.951611,-0.080000,0.578577
365,0.950850,-0.080800,-0.291942
366,0.949330,-0.082400,-0.582117
367,0.952373,-0.079200,1.158920
368,0.953135,-0.078400,0.288402
369,0.950850,-0.080800,-0.872286
370,0.953898,-0.077600,1.158918
371,0.954661,-0.076800,0.288402
372,0.950850,-0.080800,-1.452630
373,0.950850,-0.080800,-0.001770
374,0.961560,-0.069600,4.060642
375,0.965414,-0.065600,1.449092
376,0.970835,-0.060000,2.029438
377,0.971612,-0.059200,0.288402
378,0.976287,-0.054400,1.739264
379,0.977850,-0.052800,0.578575
380,0.975506,-0.055200,-0.872287
381,0.983342,-0.047200,2.899953
382,0.981770,-0.048800,-0.582114
383,0.978633,-0.052000,-1.162460
384,0.979416,-0.051200,0.288403
385,0.983342,-0.047200,1.449091
386,0.978633,-0.052000,-1.742804
387,0.973947,-0.056800,-1.742804
388,0.977850,-0.052800,1.449092
389,0.980200,-0.050400,0.868747
390,0.980200,-0.050400,-0.001770
391,0.979416,-0.051200,-0.291942
392,0.980200,-0.050400,0.288402
393,0.978633,-0.052000,-0.582115
394,0.977850,-0.052800,-0.291942
395,0.975506,-0.055200,-0.872287
396,0.973947,-0.056800,-0.582115
397,0.972390,-0.058400,-0.582115
398,0.972390,-0.058400,-0.001770
399,0.973947,-0.056800,0.578575
400,0.981770,-0.048800,2.899955
401,0.983342,-0.047200,0.578574
402,0.984129,-0.046400,0.288403
403,0.980984,-0.049600,-1.162460
404,0.983342,-0.047200,0.868747
405,0.980984,-0.049600,-0.872287
406,0.981770,-0.048800,0.288403
407,0.984129,-0.046400,0.868747
408,0.982555,-0.048000,-0.582115
409,0.983342,-0.047200,0.288402
410,0.984129,-0.046400,0.288403
411,0.988073,-0.042400,1.449092
412,0.984916,-0.045600,-1.162460
413,0.987283,-0.043200,0.868747
414,0.989655,-0.040800,0.868747
415,0.991240,-0.039200,0.578575
416,0.991240,-0.039200,-0.001770
417,0.986493,-0.044000,-1.742804
418,0.986493,-0.044000,-0.001770
419,0.981770,-0.048800,-1.742804
