time,index
5124,23982.6094
5125,23999.6992
5126,23952.2402
5127,24310.1406
5128,24537.0195
5129,24898.1094
5130,24599.3398
5131,24576.8496
5132,25554.6406
5133,25701.1309
5134,25843.7793
5135,26551.9395
5136,26430.2891
5137,26430.2891
5138,27065.1504
5139,27142.4707
5140,27142.4707
5141,28199.7500
5142,27479.9395
5143,26973.9805
5144,27831.5195
5145,27770.2891
5146,28228.0391
5147,28569.3301
5148,29133.0195
5149,28838.3691
5150,29540.7793
5151,28954.5508
5152,29298.7109
5153,29465.0508
5154,29465.0508
5155,28373.6309
5156,29376.8594
5157,29333.5293
5158,29854.4902
5159,30405.2207
5160,31586.9004
5161,31638.2207
5162,31352.5801
5163,31492.8809
5164,30468.3398
5165,28942.3203
5166,29438.1309
5167,29708.9297
5168,28760.2207
5169,28783.4102
5170,27665.7305
5171,27803.3496
5172,29166.0098
5173,28751.2109
5174,27614.4297
5175,27460.1699
5176,27771.2109
5177,26618.1895
5178,26004.9199
5179,26541.0898
5180,27626.6191
5181,27210.2109
5182,27371.2402
5183,28482.5391
5184,28643.6094
5185,28658.4199
5186,28879.5898
5187,29345.4492
5188,29558.9199
5189,28842.4707
5190,28501.0996
5191,29226.8398
5192,28521.0606
5193,27744.4492
5194,27563.6406
5195,26596.5801
5196,26732.8691
5197,27029.2598
5198,27017.0898
5199,27626.9199
5200,28128.8008
5201,27842.9297
5202,27370.5996
5203,27812.6504
5204,27560.5195
5205,26887.2793
5206,27519.6895
5207,27179.4902
5208,27112.9004
5209,27615.8496
5210,27230.8594
5211,26867.0098
5212,26468.1309
5213,25837.7793
5214,24450.8496
5215,25114.9805
5216,25201.8691
5217,23818.8594
5218,21757.6309
5219,24090.1699
5220,23539.2695
5221,25122.3691
5222,24053.6094
5223,24291.8008
5224,23653.6895
5225,23455.7402
5226,24123.5801
5227,25032.0801
5228,24808.6992
5229,23469.4609
5230,22616.1094
5231,22921.6699
5232,23169.5508
5233,24021.6797
5234,24148.4297
5235,23759.2500
5236,24123.1699
5237,23590.5801
5238,23623.0000
5239,23305.0391
5240,23269.1406
5241,23714.7500
5242,24483.8398
5243,24591.6895
5244,24331.6699
5245,23584.9707
5246,23119.8691
5247,23114.3398
5248,23342.7305
5249,22501.3301
5250,22705.0508
5251,22995.3496
5252,23422.7598
5253,22301.6406
5254,22237.1094
5255,21084.6094
5256,21384.6094
5257,21866.9395
5258,21108.2207
5259,21108.2207
5260,22464.5195
5261,22617.0098
5262,22664.2207
5263,23285.9492
5264,22849.1992
5265,23137.4609
5266,23872.4297
5267,24264.6309
5268,24264.6309
5269,24578.7598
5270,24311.6895
5271,23984.5703
5272,24187.0996
5273,24667.7891
5274,23811.1992
5275,23901.3301
5276,23878.3496
5277,24258.9609
5278,24197.7793
5279,24721.6699
5280,24939.1504
5281,25289.2402
5282,25680.7793
5283,25516.7793
5284,25666.2891
5285,25914.1504
5286,25755.3496
5287,25755.3496
5288,26241.0195
5289,26183.9492
5290,26262.1309
5291,25610.2109
5292,25449.7891
5293,25063.1699
5294,25063.1699
5295,25552.7695
5296,25533.4805
5297,25513.7109
5298,25618.8594
5299,25742.2305
5300,25169.4609
5301,25460.2891
5302,25043.1191
5303,24714.0703
5304,24127.3106
5305,24282.0391
5306,24249.5098
5307,24383.9902
5308,24533.1191
5309,24831.3594
5310,24375.7598
5311,24123.2500
5312,24255.2891
5313,24402.1797
5314,23375.5195
5315,23327.5996
5316,23023.8594
5317,22592.3008
5318,23029.6895
5319,23057.9902
5320,23325.8008
5321,22797.6094
5322,22745.5996
5323,22714.9609
5324,22456.0195
5325,22635.1602
5326,22455.6699
5327,22042.3496
5328,22102.0098
5329,21704.4492
5330,21242.7793
5331,21423.8203
5332,21913.0606
5333,21220.8106
5334,21805.8106
5335,21821.7793
5336,22184.5508
5337,22014.4609
5338,21174.7695
5339,21223.5000
5340,21734.7207
5341,21874.1895
5342,22532.9004
5343,22527.4805
5344,23134.5508
5345,23087.7207
5346,22740.7109
5347,22687.2109
5348,22258.0000
5349,22690.5996
5350,22731.0996
5351,22862.5996
5352,22514.9199
5353,21949.7500
5354,22104.1992
5355,21885.2109
5356,21859.3398
5357,21640.8906
5358,21293.3203
5359,21392.7109
5360,21160.5801
5361,20930.6699
5362,20484.3691
5363,20931.2598
5364,20392.0606
5365,20392.0606
5366,21104.7891
5367,21056.6602
5368,21464.7207
5369,20972.2891
5370,21261.8906
5371,20906.3106
5372,21042.4609
5373,20585.0606
5374,20389.4805
5375,19933.2793
5376,20794.2695
5377,20491.1094
5378,19999.7793
5379,19388.7207
5380,19352.9004
5381,18300.6094
5382,17637.1895
5383,17632.4609
5384,19327.7305
5385,19632.1992
5386,18872.8496
5387,18961.9902
5388,18934.4297
5389,18682.0898
5390,17880.6797
5391,18016.2109
5392,18211.1094
5393,17682.4004
5394,16803.7598
5395,16803.7598
5396,15431.7305
5397,15943.2402
5398,14796.8701
5399,16312.1602
5400,16832.8809
5401,15998.2998
5402,15230.5195
5403,14554.2100
5404,15323.0098
5405,15041.1699
5406,14266.5996
5407,13760.4902
5408,12618.3799
5409,11015.8398
5410,12596.2900
5411,12702.0703
5412,14329.8496
5413,13968.6699
5414,14344.3701
5415,14384.3398
5416,14840.1602
5417,13790.0400
5418,14243.4297
5419,14744.6299
5420,14040.9004
5421,13939.0898
5422,13221.3496
5423,13542.6602
5424,13529.5303
5425,12915.8897
5426,12815.7998
5427,12298.5596
5428,12659.2002
5429,12457.9404
5430,12878.5996
5431,13369.4502
5432,13552.0596
5433,13888.2402
5434,14108.8398
5435,13405.8496
5436,13588.6602
5437,13509.7803
5438,13846.0898
5439,15044.8701
5440,14753.2197
5441,15577.7402
5442,15613.9004
5443,14758.3897
5444,15046.9502
5445,15130.2100
5446,15460.5195
5447,15497.8096
5448,15127.5098
5449,14622.3897
5450,14220.7900
5451,14184.1397
5452,14184.1397
5453,14328.4805
5454,14235.5000
5455,14387.4805
5456,15042.8096
5457,15563.3096
5458,15509.5098
5459,14987.4600
5460,14415.9102
5461,14377.4404
5462,13971.0000
5463,13668.0498
5464,13704.6104
5465,13242.9600
5466,13255.5098
5467,13339.9902
5468,12959.7695
5469,12583.6299
5470,12657.9902
5471,12578.5996
5472,13154.4297
5473,13278.2100
5474,12861.4902
5475,12776.8897
5476,13063.8897
5477,13178.9004
5478,13655.0400
5479,13769.0596
5480,13880.6397
5481,13539.2100
5482,13228.2998
5483,13554.6699
5484,13455.8799
5485,12945.4004
5486,13016.0000
5487,13023.3604
5488,12699.1699
5489,13175.0996
5490,12798.5195
5491,13005.0801
5492,12894.9404
5493,12811.5703
5494,12317.4600
5495,12033.8799
5496,12331.1504
5497,12211.2402
5498,11921.5195
5499,11344.5801
5500,11694.0498
5501,11930.6602
5502,12001.5303
5503,12525.7998
5504,12976.7100
5505,12878.0898
5506,13117.1699
5507,13130.9199
5508,12833.5098
5509,13447.4199
5510,13910.3398
5511,13622.1104
5512,14108.9805
5513,14119.5000
5514,13456.3301
5515,13576.0195
5516,13519.5400
5517,14521.9697
5518,14545.6904
5519,14998.0400
5520,14928.9697
5521,14474.8604
5522,14901.4102
5523,14901.4102
5524,15580.1602
5525,15669.6201
5526,15582.9902
5527,15601.2695
5528,15750.9102
5529,15285.8897
5530,14878.4502
5531,15214.4600
5532,15258.8496
5533,14840.4199
5534,14555.1104
5535,14956.9502
5536,15520.9902
5537,15520.9902
5538,16381.0498
5539,16430.0801
5540,16834.5703
5541,17217.8906
5542,17389.8691
5543,17087.9492
5544,17153.6406
5545,17059.6191
5546,16541.6895
5547,16790.6992
5548,17022.9102
5549,17544.0293
5550,17475.8398
5551,17199.4902
5552,17062.5195
5553,17121.8203
5554,16991.5606
5555,17885.2695
5556,18171.0000
5557,18888.5898
5558,18389.0801
5559,18576.4707
5560,18502.7695
5561,18679.5293
5562,18253.3906
5563,18058.4902
5564,18785.6602
5565,18791.0293
5566,18889.6797
5567,18498.9609
5568,18165.5000
5569,18084.5996
5570,17776.6602
5571,17920.9297
5572,18059.5508
5573,17538.3691
5574,17892.1504
5575,18275.0293
5576,18600.2598
5577,18528.5098
5578,18378.7305
5579,18178.0508
5580,18203.4004
5581,17979.4102
5582,17862.2695
5583,17721.0703
5584,17790.5898
5585,17708.4199
5586,17254.6309
5587,17885.7305
5588,18258.6602
5589,18361.8691
5590,18805.6602
5591,19502.3691
5592,19501.7305
5593,19248.1699
5594,19817.6992
5595,19982.7891
5596,20251.6191
5597,20624.5391
5598,20135.5000
5599,20234.0801
5600,20573.3301
5601,20807.2598
5602,20796.4297
5603,20494.7695
5604,20899.2402
5605,20375.3691
5606,20929.5195
5607,21074.2109
5608,20435.2402
5609,20861.3008
5610,20893.3301
5611,20137.6504
5612,20306.2695
5613,19954.2305
5614,20328.8594
5615,20199.0195
5616,20535.9395
5617,20435.2402
5618,20456.3203
5619,20242.7500
5620,20098.6191
5621,19724.1895
5622,19872.3008
5623,19522.0000
5624,19761.6797
5625,20318.6191
5626,20629.3106
5627,21069.8106
5628,20851.0391
5629,21069.5606
5630,21161.4199
5631,20932.1992
5632,20866.3691
5633,21402.9199
5634,21768.5098
5635,21623.4492
5636,21472.8496
5637,21701.1406
5638,21595.5195
5639,21050.7305
5640,21024.4004
5641,20588.4102
5642,21013.1699
5643,20955.2500
5644,20955.2500
5645,20375.4902
5646,20429.0703
5647,20811.5293
5648,21241.5898
5649,21492.9004
5650,21499.4395
5651,21299.3496
5652,21467.3594
5653,21886.4805
5654,21999.0801
5655,21929.9004
5656,22200.4609
5657,22384.9609
5658,22318.1094
5659,22210.5195
5660,22589.7305
5661,22589.7305
5662,22169.5898
5663,21761.5801
5664,21264.9902
5665,21752.8691
5666,21620.1895
5667,21240.0606
5668,21614.7695
5669,21479.0801
5670,21829.7207
5671,22207.5508
5672,22268.1602
5673,22627.2109
5674,22397.5703
5675,22553.6309
5676,22943.9805
5677,22914.1504
5678,22840.3301
5679,22643.1602
5680,22455.8398
5681,22771.3906
5682,22423.1406
5683,22611.8008
5684,22210.4102
5685,21134.5000
5686,21821.5000
5687,22113.1504
5688,22289.5703
5689,22553.8691
5690,22498.1504
5691,22324.9609
5692,22060.5195
5693,21741.7598
5694,21700.0391
5695,21902.1094
5696,22085.7500
5697,21813.9199
5698,21611.7402
5699,21347.6309
5700,21175.8809
5701,20948.0996
5702,21092.0391
5703,21328.7402
5704,21517.0000
5705,21480.2207
5706,21499.4395
5707,21496.6191
5708,21872.5000
5709,21823.2793
5710,22279.5801
5711,22416.6699
5712,22269.4492
5713,22296.7500
5714,22411.5195
5715,22326.6406
5716,21748.5996
5717,21716.9492
5718,21654.1602
5719,21460.0098
5720,21677.9805
5721,21286.1699
5722,20862.6699
5723,20726.1797
5724,20598.5508
5725,20109.3301
5726,20033.0703
5727,20356.3691
5728,20121.9902
5729,20243.7500
5730,20272.1797
5731,20722.0801
5732,20341.6406
